DateTime,Total Cost(ETH),Avg Calldata gas price(Gwei),Avg Blob Gas Price(Gwei),Total Calldata Gas Used,Total Blob Gas Used,Total Gas Used(calldata + blob),Transaction Count
2024-07-08,0.04217332654,54.2771182,1.175864865e-06,777000,4849664,5626664,37
2024-07-03,1.300333097,32.57387026,66.67062629,2898000,18087936,20985936,138
2024-07-04,0.9088863748,20.3803631,30.0724671,4368000,27262976,31630976,208
2024-07-05,2.210838324,15.37191448,81.03892497,4242000,26476544,30718544,202
2024-07-06,0.1131998178,26.04063062,4.409903382e-05,4347000,27131904,31478904,207
2024-07-07,2.26593799,5.226928464,150.8093531,2394000,14942208,17336208,114
