DateTime,Total Cost(ETH),Avg Calldata gas price(Gwei),Avg Blob Gas Price(Gwei),Total Calldata Gas Used,Total Blob Gas Used,Total Gas Used(calldata + blob),Transaction Count
2024-08-21,0.07602266075,16.3947164,0,4636656,0,4636656,207
2024-08-24,0.06279759643,13.6745668,0,4592436,0,4592436,205
2024-08-07,0.1017794546,22.27087854,0,4569820,0,4569820,204
2024-08-13,0.07509747529,16.35418323,0,4591660,0,4591660,205
2024-08-15,0.04659870938,10.19743969,0,4569528,0,4569528,204
2024-08-23,0.06291544204,13.63386247,0,4614688,0,4614688,206
2024-08-08,0.04071653945,8.953567676,0,4547424,0,4547424,203
2024-08-03,0.02133941964,4.624929903,0,4613916,0,4613916,206
2024-08-05,0.05785593342,12.72250956,0,4547308,0,4547308,203
2024-08-10,0.0192449687,4.190768455,0,4592188,0,4592188,205
2024-08-11,0.02502070584,5.422366239,0,4614460,0,4614460,206
2024-08-14,0.04338121288,9.401024261,0,4614376,0,4614376,206
2024-08-18,0.006143191661,1.318613489,0,4658856,0,4658856,208
2024-08-19,0.02703044532,5.857961658,0,4614424,0,4614424,206
2024-08-02,0.03178453975,6.922303689,0,4591408,0,4591408,205
2024-08-04,0.02101638012,4.576496839,0,4592060,0,4592060,205
2024-08-06,0.05042622361,10.87537274,0,4636532,0,4636532,207
2024-08-12,0.06061656183,13.26478259,0,4569392,0,4569392,204
2024-08-17,0.005692250912,1.221761694,0,4659116,0,4659116,208
2024-08-01,0.06273305071,13.52915939,0,4636412,0,4636412,207
2024-08-16,0.03254024989,7.05206494,0,4614320,0,4614320,206
2024-08-09,0.04775554073,10.50211017,0,4547208,0,4547208,203
2024-08-22,0.09271552907,19.93479346,0,4748352,0,4748352,206
2024-08-25,0.004733820077,2.935002686,0,1612876,0,1612876,72
2024-08-20,0.03385094904,7.444212755,0,4547272,0,4547272,203
