DateTime,Total Cost(ETH),Avg Calldata gas price(Gwei),Avg Blob Gas Price(Gwei),Total Calldata Gas Used,Total Blob Gas Used,Total Gas Used(calldata + blob),Transaction Count
2024-07-03,0.1185202399,26.08145429,0,4544188,0,4544188,203
2024-07-04,0.9202698221,19.41984726,31.60146944,4338704,17301504,21640208,202
2024-07-05,2.04912025,15.5364426,76.46810055,4158000,25952256,30110256,198
2024-07-06,0.1135860655,26.12948377,4.421120773e-05,4347000,27131904,31478904,207
2024-07-07,0.2772472755,5.244693003,19.89724724,2142000,13369344,15511344,102
